,precision,recall,f1-score,support
agradecimento,0.19047619047619047,0.4,0.25806451612903225,10.0
buscar_produto_por_categoria,1.0,1.0,1.0,30.0
buscar_produto_por_nome,0.26666666666666666,0.5714285714285714,0.36363636363636365,7.0
despedida,0.46153846153846156,0.25,0.32432432432432434,24.0
erros_plataforma,0.0,0.0,0.0,1.0
falar_com_humano,0.5,0.6666666666666666,0.5714285714285714,3.0
formas_pagamento,0.3333333333333333,1.0,0.5,2.0
frete_prazo,0.6666666666666666,1.0,0.8,2.0
materiais_cuidados,1.0,1.0,1.0,1.0
saudacao,0.84,0.4772727272727273,0.6086956521739131,44.0
status_pedido,1.0,1.0,1.0,1.0
styling_sugestao_look,0.5,1.0,0.6666666666666666,1.0
tamanho_modelagem,0.6666666666666666,0.8181818181818182,0.7346938775510204,22.0
accuracy,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216
macro avg,0.5711806142575374,0.7064269064269065,0.6021161516853764,148.0
weighted avg,0.6923987723987725,0.6216216216216216,0.6272750667111869,148.0
