intent,current,target,add_needed
any,0,350,350
status_pedido,2,350,348
materiais_cuidados,4,350,346
styling_sugestao_look,11,350,339
formas_pagamento,13,350,337
frete_prazo,14,350,336
tamanho_modelagem,16,350,334
troca_devolucao,17,350,333
pedido_sugestao,26,350,324
buscar_produto_por_nome,39,350,311
disponibilidade,83,350,267
duvida_tamanho,88,350,262
erros_plataforma,6,220,214
falar_com_humano,15,220,205
buscar_produto_por_categoria,151,350,199
onde_comprar,28,220,192
agradecimento,4,180,176
outros,272,400,128
despedida,118,180,62
saudacao,180,180,0
