texto,intent,source,style_tag,slots_json,quality_flags
agradeco o feedback,agradecimento,original,orig,,
"perfeito, obrigada!",agradecimento,original,orig,,
obg!!,agradecimento,original,orig,,
de todo modo agradeco por perguntar,agradecimento,original,orig,,
quero body verde P,buscar_produto_por_categoria,original,orig,,
tem body preto tamanho GG?,buscar_produto_por_categoria,original,orig,,
quero body preto 38,buscar_produto_por_categoria,original,orig,,
tem body verde tamanho 46?,buscar_produto_por_categoria,original,orig,,
quero jaqueta verde GG,buscar_produto_por_categoria,original,orig,,
tem body verde tamanho 40?,buscar_produto_por_categoria,original,orig,,
tem jaqueta preto tamanho P?,buscar_produto_por_categoria,original,orig,,
quero body preto G,buscar_produto_por_categoria,original,orig,,
quero jaqueta verde 42,buscar_produto_por_categoria,original,orig,,
tem blazer preto tamanho 36?,buscar_produto_por_categoria,original,orig,,
tem saia verde tamanho 46?,buscar_produto_por_categoria,original,orig,,
tem body preto tamanho M?,buscar_produto_por_categoria,original,orig,,
quero jaqueta verde 44,buscar_produto_por_categoria,original,orig,,
tem blazer preto tamanho 42?,buscar_produto_por_categoria,original,orig,,
quero saia preto 46,buscar_produto_por_categoria,original,orig,,
quero blazer verde 36,buscar_produto_por_categoria,original,orig,,
quero vestido preto 46,buscar_produto_por_categoria,original,orig,,
quero saia verde 42,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho 40?,buscar_produto_por_categoria,original,orig,,
quero blazer preto P,buscar_produto_por_categoria,original,orig,,
quero jaqueta verde 46,buscar_produto_por_categoria,original,orig,,
tem jaqueta preto tamanho 36?,buscar_produto_por_categoria,original,orig,,
tem body verde tamanho P?,buscar_produto_por_categoria,original,orig,,
quero body verde M,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho 42?,buscar_produto_por_categoria,original,orig,,
tem camisa verde tamanho 40?,buscar_produto_por_categoria,original,orig,,
quero vestido verde PP,buscar_produto_por_categoria,original,orig,,
tem camisa verde tamanho PP?,buscar_produto_por_categoria,original,orig,,
tem jaqueta preto tamanho M?,buscar_produto_por_categoria,original,orig,,
quero blazer verde G,buscar_produto_por_categoria,original,orig,,
quero blazer preto 40,buscar_produto_por_categoria,original,orig,,
tem vestido verde tamanho PP?,buscar_produto_por_categoria,original,orig,,
tem camisa verde tamanho M?,buscar_produto_por_categoria,original,orig,,
quero body verde 46,buscar_produto_por_categoria,original,orig,,
tem camisa preto tamanho 42?,buscar_produto_por_categoria,original,orig,,
quero body preto M,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho M?,buscar_produto_por_categoria,original,orig,,
tem saia verde tamanho GG?,buscar_produto_por_categoria,original,orig,,
quero saia verde M,buscar_produto_por_categoria,original,orig,,
quero blazer verde 38,buscar_produto_por_categoria,original,orig,,
quero body verde G,buscar_produto_por_categoria,original,orig,,
quero camisa verde 42,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho G?,buscar_produto_por_categoria,original,orig,,
tem camisa verde tamanho 36?,buscar_produto_por_categoria,original,orig,,
quero camisa preto M,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho PP?,buscar_produto_por_categoria,original,orig,,
tem camisa preto tamanho 38?,buscar_produto_por_categoria,original,orig,,
tem camisa preto tamanho P?,buscar_produto_por_categoria,original,orig,,
tem jaqueta verde tamanho 36?,buscar_produto_por_categoria,original,orig,,
tem jaqueta preto tamanho PP?,buscar_produto_por_categoria,original,orig,,
tem saia preto tamanho 36?,buscar_produto_por_categoria,original,orig,,
tem vestido preto tamanho P?,buscar_produto_por_categoria,original,orig,,
tem blazer preto tamanho G?,buscar_produto_por_categoria,original,orig,,
quero saia verde 36,buscar_produto_por_categoria,original,orig,,
tem jaqueta preto tamanho G?,buscar_produto_por_categoria,original,orig,,
quero camisa preto P,buscar_produto_por_categoria,original,orig,,
quero saia verde 38,buscar_produto_por_categoria,original,orig,,
quero camisa verde P,buscar_produto_por_categoria,original,orig,,
tem body verde tamanho GG?,buscar_produto_por_categoria,original,orig,,
quero blazer preto M,buscar_produto_por_categoria,original,orig,,
quero blazer preto 42,buscar_produto_por_categoria,original,orig,,
