texto,intent,source,style_tag,slots_json,quality_flags
"perfeito, obrigada!",agradecimento,original,orig,,
de todo modo agradeco por perguntar,agradecimento,original,orig,,
quero jaqueta preto P,buscar_produto_por_categoria,original,orig,,
tem blazer verde tamanho 40?,buscar_produto_por_categoria,original,orig,,
na o gosto de nada apertado mas essa blusa tem um shane mais ajustado daa fiquei na daovida,buscar_produto_por_nome,original,orig,,
nao tem um link de comunicacao no whatsapp,buscar_produto_por_nome,original,orig,,
com certeza nao exatamente por isso que pensamos nesse material que se molda nos pes,despedida,original,orig,,
estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd o link clica vel segue na pra <num> xima mensagem obrigada por nos acompanhar katia qualquer daovida estamos a disposia a o equipe curadobia d,despedida,original,orig,,
tem blazer verde no 44?,disponibilidade,original,orig,,
tem saia verde no GG?,disponibilidade,original,orig,,
e o body me chega hoje,duvida_tamanho,original,orig,,
eu adorei ja usei minha saia hj,duvida_tamanho,original,orig,,
erro,erros_plataforma,original,orig,,
aqui a tabela certinha mas ja estamos com o pessoal tecnico corrigindo esse erro,erros_plataforma,original,orig,,
verificamos com a marca responsa vel pelo envio a revival o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp,falar_com_humano,original,orig,,
numero,falar_com_humano,original,orig,,
praticamos sempre o mesmo valor das marcas o que entrara de extra sera o valor do frete que a c calculado automaticamente se tiver mais alguma daovida nos avise ok,formas_pagamento,original,orig,,
valor <num>,formas_pagamento,original,orig,,
chega quando no 06030-050?,frete_prazo,original,orig,,
chega quando no 01455-022?,frete_prazo,original,orig,,
bia gosto muito das suas bolsas poderia passar umas dicas na o encontrei no seu site a,materiais_cuidados,original,orig,,
voce poderia me passar o contato dos responsaveis,materiais_cuidados,original,orig,,
link da cala a por gentileza,onde_comprar,original,orig,,
tem link? como compro?,onde_comprar,original,orig,,
faco,outros,original,orig,,
salaio sent an attachment,outros,original,orig,,
respostas,outros,original,orig,,
"quero um look casual para trabalho, uso PP",pedido_sugestao,original,orig,,
"quero um look casual para trabalho, uso P",pedido_sugestao,original,orig,,
que ai conseguimos encaminhar pro la as tratativas o que acha se puder esclarecer que seria algo mais voltado para o perfil pessoal da bia ou para o curadobia seria bacana entendermos tambem para encaminhar de forma mais assertiva sua mensagem,saudacao,original,orig,,
qualquer coisa seguimos aqui,saudacao,original,orig,,
como uma critica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,status_pedido,original,orig,,
como uma cratica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,status_pedido,original,orig,,
bia tudo bem tenho uma festa bem legal e o traje a c black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se vocaa recomenda alguma cala a mais festa para combinar beijos julie,styling_sugestao_look,original,orig,,
pergunta da pra usar a blusa molona em festa de dia resposta combinacoes e ocasioes,styling_sugestao_look,original,orig,,
pergunta a calca saruel silvia tem forro interno resposta modelagem e tecido,tamanho_modelagem,original,orig,,
pergunta a camisa de responsa marca muito o corpo resposta modelagem e tecido,tamanho_modelagem,original,orig,,
sem problemas mari apenas encaminha pra gente um e mail solicitando que iremos dar sequencia com a troca e mail contato curadobia <user> com,troca_devolucao,original,orig,,
caso nao fique com como funciona a troca,troca_devolucao,original,orig,,
