texto,intent,source,style_tag,slots_json,quality_flags
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
obg!!,agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
obg!!,agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,formal,,
obg!!,agradecimento,synthetic_tpl,emoji,,
obg!!,agradecimento,synthetic_tpl,emoji,,
obg!!,agradecimento,synthetic_tpl,emoji,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
obg!!,agradecimento,synthetic_tpl,informal,,
"perfeito, obrigada!",agradecimento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
faz em 3x sem juros?,formas_pagamento,synthetic_tpl,informal,,
