real,predito,qtd
duvida_tamanho,outros,24
agradecimento,outros,21
saudacao,outros,13
duvida_tamanho,saudacao,11
outros,disponibilidade,11
disponibilidade,outros,10
duvida_tamanho,disponibilidade,9
outros,agradecimento,8
disponibilidade,saudacao,7
saudacao,disponibilidade,6
saudacao,agradecimento,5
outros,saudacao,4
duvida_tamanho,agradecimento,4
agradecimento,saudacao,4
duvida_tamanho,prazo_entrega,3
preco_pagamento,outros,3
onde_comprar,saudacao,3
outros,preco_pagamento,2
erro_plataforma,saudacao,2
outros,duvida_tamanho,2
disponibilidade,agradecimento,2
agradecimento,disponibilidade,2
disponibilidade,onde_comprar,2
duvida_tamanho,onde_comprar,2
prazo_entrega,saudacao,2
erro_plataforma,outros,1
erro_plataforma,preco_pagamento,1
outros,prazo_entrega,1
onde_comprar,agradecimento,1
onde_comprar,disponibilidade,1
onde_comprar,prazo_entrega,1
onde_comprar,outros,1
pedido_sugestao,outros,1
pedido_sugestao,duvida_tamanho,1
pedido_sugestao,disponibilidade,1
pedido_sugestao,agradecimento,1
outros,onde_comprar,1
prazo_entrega,outros,1
pedido_sugestao,saudacao,1
prazo_entrega,agradecimento,1
preco_pagamento,saudacao,1
preco_pagamento,disponibilidade,1
prazo_entrega,onde_comprar,1
saudacao,duvida_tamanho,1
troca_devolucao,disponibilidade,1
troca_devolucao,outros,1
troca_devolucao,prazo_entrega,1
troca_devolucao,saudacao,1
