intencao,top_termos
agradecimento,"presenca, presena, muito, retorno, acompanhar, mto, ok, perfeito, maravilhosa, prestigio"
disponibilidade,"loja, calca, gladiadora, whatsapp, compro, reposicao, preta, disponivel, cala, estoque"
duvida_tamanho,"verde, preto, tamanho, quero, blazer, vestido, saia, camisa, body, jaqueta"
erro_plataforma,"erro, senha, tamanhos, medidas, vem, dados cartao, tecnico, demora, tentei, sao"
onde_comprar,"whatsapp, numero, pode, nosso whatsapp, fatima, bem, falar, nao, este, whatsapp num"
outros,"coisa, linda, estilo, endereco, seguimos, modelagem, gentileza, tom, poderia passar, comprei jaqueta"
pedido_sugestao,"sugestao, look, looks, pecas, seus, seus looks, muito, ju, volumes, criar"
prazo_entrega,"frete, chega, entrega, valor frete, 022, valor, frete pro, num, rastreio, num dias"
preco_pagamento,"preco, faz, desconto, valor num, valor, quanto, cupom, cupom desconto, querer, pix"
saudacao,"bem, ola, vocaa, vai, oie, compras, td bem, direto, td, time"
troca_devolucao,"troca, trocar, devolucao, processo, proceder, caso, posso, processo troca, mail, posso trocar"
