ts,autor,texto,origem,arquivo_origem,lado,dia,texto_clean2,flag_ruido,lang,lscore,mensagem_norm,mensagem_lemma,len_tokens
2025-05-10 13:26:30.304,Curadobia,"Ola Emily, td bem? Segue aqui os detalhes da blusa que gostou. Qualquer duvida estamos a disposição.",instagram_zip,inbox/emilly_17998681088788437/message_1.json,time,2025-05-10,,False,pt,1.0,"Ola Emily, td bem? Segue aqui os detalhes da blusa que gostou. Qualquer duvida estamos a disposição.",ola emily td bem seg detalh blus gost duvid dispos,10
2024-08-29 14:50:14.297,Curadobia,"Oi Dany, bom dia! Desculpa ontem não ter te dado um retorno a marca havia informado que estaria chegando ontem mesmo",instagram_zip,inbox/danycavalcanti_1481723446558270/message_1.json,time,2024-08-29,,False,pt,1.0,"Oi Dany, bom dia! Desculpa ontem não ter te dado um retorno a marca havia informado que estaria chegando ontem mesmo",dany desculp ont te dad retorn marc hav inform est cheg ont mesm,13
2025-05-06 09:17:00.000,susannamariaerat_1705724080822262,"olá susanna, bom dia! estaremos te esperando na rua venceslau flexa 209, jardim paulistano das 11h às 20h ah e teremos manobrista no local para maior tranquilidade",instagram_csv,Consolidação das mensagens do INSTAGRAM.csv,time,2025-05-06,,False,pt,1.0,"olá susanna, bom dia! estaremos te esperando na rua venceslau flexa 209, jardim paulistano das 11h às 20h ah e teremos manobrista no local para maior tranquilidade",susann est te esper rua venceslau flex jardim paulist às ah ter manobr local mai tranquil,16
2024-07-19 15:43:00.000,tiagorodrigues_17961513431788437,"olá, tudo bem sim e com você?",instagram_csv,Consolidação das mensagens do INSTAGRAM.csv,time,2024-07-19,,False,pt,1.0,"olá, tudo bem sim e com você?",bem,1
2024-09-16 12:42:39.658,Curadobia,Qual seu manequim?,instagram_zip,inbox/patifisch_1530674161664561/message_1.json,time,2024-09-16,,False,ca,1.0,Qual seu manequim?,,0
2024-08-08 12:31:55.330,Curadobia,"Olá Dany, bom dia! Caso tenha algum problema com o tamanho você pode optar por trocar ou devolver o produto. Basta nos informar pelo e-mail contato.curadobia@gmail.com que iremos encaminhar sua solicitação para a Marca responsável. A marca irá proceder com os próximos passos como envio do código de logística reversa e tudo mais",instagram_zip,inbox/danycavalcanti_1481723446558270/message_1.json,time,2024-08-08,,False,pt,1.0,"Olá Dany, bom dia! Caso tenha algum problema com o tamanho você pode optar por trocar ou devolver o produto. Basta nos informar pelo e-mail contato.curadobia@gmail.com que iremos encaminhar sua solicitação para a Marca responsável. A marca irá proceder com os próximos passos como envio do código de logística reversa e tudo mais",dany cas tenh algum problem tamanh pod opt troc devolv produt bast inform mail gmail ir encaminh solicit marc respons marc irá proced próx pass envi códig logís revers,29
2024-10-23 11:27:00.000,glorianuccicamilo_1473008980754026,"perfeito glória, já colocamos aqui na nossa lista e vamos te informar quando estiver mais próximo da data!",instagram_csv,Consolidação das mensagens do INSTAGRAM.csv,time,2024-10-23,,False,pt,1.0,"perfeito glória, já colocamos aqui na nossa lista e vamos te informar quando estiver mais próximo da data!",perfeit glór coloc noss list vam te inform estiv próx dat,11
2024-07-19 18:35:46.635,Curadobia,Ele foi postando dia 16 com o código de rastreio AA186736680BR,instagram_zip,inbox/gabrielacamposcostabarbosa_1468528951212895/message_1.json,time,2024-07-19,,False,pt,1.0,Ele foi postando dia 16 com o código de rastreio AA186736680BR,post códig rastrei,3
2025-05-09 14:26:28.191,Curadobia,"Olá Anna, bom dia! Seu produto vou enviado dia 08/05. Você consegue acompanhar tudo pelo codigo de rastreio abaixo",instagram_zip,inbox/17998336169788437/message_1.json,time,2025-05-09,,False,pt,1.0,"Olá Anna, bom dia! Seu produto vou enviado dia 08/05. Você consegue acompanhar tudo pelo codigo de rastreio abaixo",ann seu produt conseg acompanh codig rastrei abaix,8
2024-09-03 11:15:19.005,Curadobia,"Estamos estudando trazer essa categoria para o Curadobia, porém nada de imediato ainda, mas muito legal saber do interesse! Assim que tivermos iremos te manter avisada",instagram_zip,inbox/crisrocchi_1346176916769294/message_1.json,time,2024-09-03,,False,pt,1.0,"Estamos estudando trazer essa categoria para o Curadobia, porém nada de imediato ainda, mas muito legal saber do interesse! Assim que tivermos iremos te manter avisada",estud traz categor porém nad imediat aind muit legal sab inter assim tiv ir te mant avis,17
