texto,intent
body mybasic,outros
oi bia tudo bem adorei a o nome ficou demais e claro ja fui olhar as peças não localizei tabela de medidas porem pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim uso 46 48 a depender da confecção pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abençoe bjos,duvida_tamanho
obrigada beijinhos,agradecimento
olá,saudacao
como falo com alguém daí,outros
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega
mas a peça ainda não chegou,outros
era pra ter chegado ontem,outros
com quem falo b,outros
oii tudo bem,saudacao
chegou,outros
mas paguei por uma coisa que não recebi,outros
então era pra ter pago menos a meu ver,outros
e achei muito difícil o contato com vcs,outros
não tem um link de comunicação no whatsapp,disponibilidade
no e mail da nota fiscal não tem nada,disponibilidade
precisei escrever em uma postagem,outros
enfim por muito pouco não me atende,outros
paguei sedex porque estou indo hoje pra londres e queria levar o body,outros
e o body me chega hoje,outros
muito tenso,outros
por muito pouco a minha frustração seria ainda maior,outros
o produto é lindo apesar de ter ficando um pouco grande,outros
mas a experiência de compra não foi legal,outros
tudo bem também,outros
somos uma produtora de áudio visual e achamos que seria interessante apresentar o nosso trabalho e portifólio,outros
você poderia me passar o contato dos responsáveis,outros
de todo modo agradeço por perguntar,outros
tudo bem,outros
não vou trocar vou tentar reduzir o gancho,troca_devolucao
muito obrigada tenham um bom fim de semana,agradecimento
ebaaaaa,outros
ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs a sua curadoria com seus neutros com tcharanz reforçou a vontade de apresentar o conceito da nossa marca pra vc vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha obrigada 1 917 868 9790,disponibilidade
feliz demais q vc gostou me fala como funciona melhor pra vc e marcamos um call,outros
olá gente bom dia acabei de ver o post da bia sobre camisas somos uma pequena alfaiataria e camisaria é o core da nossa criação gostaria muito de apresentar nosso produto pra vocês se vocês acharem conveniente por favor indiquem a melhor forma de contato abraço stella,saudacao
acho ótimo pode ser segunda 29 na parte da tarde estamos com 4horas de fuso qual horário seria bom pra vc,outros
boa tarde tudo ótimo segunda à tarde em qualquer horário,saudacao
