cluster,texto
9,you sent an attachment
9,you sent an attachment
3,nan
7,curtiu uma mensagem
11,body mybasic
9,bia sent an attachment
2,sem conteudo detectavel
0,oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pecas nao localizei tabela de medidas porem pelo tamanho das pecas que vc veste o g provavelmente nao vai caber em mim uso <num> <num> a depender da confeccao pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abencoe bjos
9,brenda sent an attachment
5,<url>
10,ola emilia boa noite tudo bem agradecemos demais o feedback e pode ter certeza que uma das preocupacoes que estamos tendo e seguir na busca por marcas que tragam opcoes e grades que representam o maior numero de corpos possivel sobre a tabela de medida estamos buscando ajustar obrigada por nos informar e seguiremos aprimorando cada vez mais bjos
6,obrigada beijinhos
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
9,bia sent an attachment
2,sem conteudo detectavel
5,link compartilhado
13,ola
1,como falo com alguem dai
0,comprei um body e paguei frete de <num> dias uteis pra levar pra uma viagem agora na sexta
1,mas a peca ainda nao chegou
1,era pra ter chegado ontem
10,com quem falo b
3,nan
6,oii tudo bem
6,ola gabriela boa tarde tudo bem
6,peco desculpa pela demora em lhe retornar
10,verificamos com a marca responsavel pelo envio a revival o seu pedido sofreu um pequeno atraso que a marca me informou ter lhe comunicado por whatsapp
0,seu pedido saiu para entrega hoje e esta constando aqui como entregue
0,ele foi postando dia <num> com o codigo de rastreio aa <num> br
1,chegou
0,mas paguei por uma coisa que nao recebi
0,entao era pra ter pago menos a meu ver
10,e achei muito dificil o contato com vcs
10,nao tem um link de comunicacao no whatsapp
0,no e mail da nota fiscal nao tem nada
7,precisei escrever em uma postagem
1,enfim por muito pouco nao me atende
0,paguei sedex porque estou indo hoje pra londres e queria levar o body
1,e o body me chega hoje
11,muito tenso
1,por muito pouco a minha frustracao seria ainda maior
0,o produto e lindo apesar de ter ficando um pouco grande
0,mas a experiencia de compra nao foi legal
10,gabriela entendo sua frustracao e e completamente justificada de fato a marca informou ter tido um pequeno problema de producao que nao devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um numero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opcao mais facil para solucao de qualquer problema
10,pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e nao deixar que situacoes como essa ocorram novamente agradeco sua compreensao e nos disponibilizamos para auxiliar da melhor forma possivel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitacao
6,ola tudo bem sim e com voce
1,tudo bem tambem
10,somos uma produtora de audio visual e achamos que seria interessante apresentar o nosso trabalho e portifolio
0,voce poderia me passar o contato dos responsaveis
10,claro pode enviar para nosso e mail contato curadobia <user> com
6,de todo modo agradeco por perguntar
6,tudo bem
1,nao vou trocar vou tentar reduzir o gancho
6,muito obrigada tenham um bom fim de semana
13,igualmente
1,ok perfeito caso mude de ideia seguimos a disposicao novamente desculpa pelo transtorno e desejo uma otima viagem
7,curtiu uma mensagem
9,bia sent an attachment
13,ebaaaaa
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
10,ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha socia e eu ja te acompanhamos tem um bom tempo e somos muito fas a sua curadoria com seus neutros com tcharanz reforcou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adorariamos um bate papo com vc pra contar nossa historia e nossos planos moro em londres e minha socia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha obrigada <num> <num> <num> <num>
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
2,sem conteudo detectavel
9,bia sent an attachment
5,link compartilhado
2,sem conteudo detectavel
6,oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho
0,adorei as bolsas de vcs
1,vamos falar sim super
6,feliz demais q vc gostou me fala como funciona melhor pra vc e marcamos um call
9,bia sent an attachment
9,bia sent an attachment
12,ola gente bom dia acabei de ver o post da bia sobre camisas somos uma pequena alfaiataria e camisaria e o core da nossa criacao gostaria muito de apresentar nosso produto pra voces se voces acharem conveniente por favor indiquem a melhor forma de contato abraco stella
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,<url>
6,ola daniela boa tarde tudo bem
10,claro vamos conversar sim o que acha de fazermos uma reuniao on line
0,segunda na parte da tarde voce teria disponibilidade
6,ola stella boa tarde tudo bem
1,bacana vamos marcar uma conversa
0,como estaria sua agenda para segunda a tarde
0,acho otimo pode ser segunda <num> na parte da tarde estamos com <num> horas de fuso qual horario seria bom pra vc
6,boa tarde tudo otimo segunda a tarde em qualquer horario
6,ah perfeito funcionaria as <num> h fuso sao paulo
6,ah perfeito <num> h poderia ser
10,qual seu e mail que ai envio um invite
11,fechado <num> pm brasil
7,qual seu e mail
6,que ai ja envio um invite
10,daniela masson <user> com
6,enviado obrigada ate segunda
6,obrigada ate la
10,stellathomazbastos <user> com
1,funciona
0,ah show vou enviar o invite
13,enviado
1,ate segunda
3,nan
5,link compartilhado
9,isabela sent an attachment
0,onde e a loja
0,ola isabela somos um marketplace sem loja fisica
7,curtiu uma mensagem
2,sem conteudo detectavel
9,bia sent an attachment
9,bia sent an attachment
5,link compartilhado
5,link compartilhado
2,sem conteudo detectavel
7,toque em continuar para aceitar ou recusar o pedido
5,link compartilhado
1,opa acho que caiu
10,daniela depois me passa seu numero de telefone que ai seguimos a comunicacao por la e pelo e mail
1,agora parece que travou mesmo
10,stella depois peco apenas que compartilhe seu numero de telefone que ai fica mais facil nossa comunicacao
4,<num> <num>
9,bia sent an attachment
9,bia sent an attachment
10,ola meninas seguem meus contatos <num> <num> <num> <num> daniela masson <user> com muito bom falar com vcs ontem obrigada falamos na sequencia por whatsapp
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
