texto,label_true
obrigada! beijinhos,agradecimento
muito obrigada!! tenham um bom fim de semana!,agradecimento
obrigada ! até lá,agradecimento
eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,agradecimento
muito obrigada pela atenção!,agradecimento
mto obrigada msm,agradecimento
mto obrigada,agradecimento
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento
muito obrigada,agradecimento
conseguem me ajudar por aqui?,agradecimento
mto obrigada pelo retorno,agradecimento
obrigada!,agradecimento
obrigada pelo retorno,agradecimento
obrigada ;) enviarei!,agradecimento
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento
obrigada,agradecimento
obrigada,agradecimento
"ok, obrigada.",agradecimento
"ok, muito obrigada 😊",agradecimento
muito obrigada pelos esclarecimentos,agradecimento
obrigada!,agradecimento
obrigada,agradecimento
que legal! vai ajudar muito!,agradecimento
experimentei essa jaqueta. maravilhosa,agradecimento
legal. obrigada,agradecimento
vou amanhã. obrigada,agradecimento
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento
obrigada,agradecimento
obrigada !!,agradecimento
muito obrigada!,agradecimento
obrigada pelo retorno,agradecimento
obrigada pelo retorno!,agradecimento
de onde é esse macacão maravilhoso!!! amo ❤️,agradecimento
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento
"sim, obrigada",agradecimento
perfeito! fico no aguardo! abraço,agradecimento
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento
perfeito,agradecimento
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento
ok obrigada,agradecimento
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento
"tranquilo, obrigada!",agradecimento
obrigada,agradecimento
que calça maravilhosa,agradecimento
obrigada! eu aviso sim!! gostei bastante! vou levar para a cliente.,agradecimento
"perfeito, ana. obrigada pelo retorno. 😊",agradecimento
obrigada,agradecimento
obrigada,agradecimento
nossa . perfeito,agradecimento
bem e vc ana!! muito obrigada,agradecimento
"deu certo, sim. obrigada",agradecimento
"ótimo, me avise por favor. um abraço e obrigada",agradecimento
legal mto obrigada 💚,agradecimento
obrigada!,agradecimento
muito obrigada pelo retorno!,agradecimento
"adorei, obrigada vcs!",agradecimento
lindo o evento! amei,agradecimento
"tá ótimo, obrigada",agradecimento
obrigada ana!!,agradecimento
obrigada,agradecimento
obrigada,agradecimento
ok. obrigada 😊,agradecimento
"Obrigada pelo retorno, as peças são incríveis! É que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento
De onde é esse Macacão maravilhoso!!! Amo ❤️,agradecimento
Que calça maravilhosa,agradecimento
Obrigada !!,agradecimento
Mto obrigada msm,agradecimento
Mto obrigada pelo retorno,agradecimento
Conseguem me ajudar por aqui?,agradecimento
Mto obrigada,agradecimento
Obrigada! Eu aviso sim!! Gostei bastante! Vou levar para a cliente.,agradecimento
Muito obrigada!,agradecimento
Muito obrigada!! Tenham um bom fim de semana!,agradecimento
Obrigada,agradecimento
Obrigada! Beijinhos,agradecimento
Obrigada,agradecimento
"Tá ótimo, obrigada",agradecimento
Obrigada,agradecimento
"Adorei, obrigada vcs!",agradecimento
Muito obrigada,agradecimento
Vou amanhã. Obrigada,agradecimento
Legal. Obrigada,agradecimento
Obrigada,agradecimento
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento
Obrigada pelo convite! Adorei a minha sandalia nova! ♥️,agradecimento
Muito obrigada pelos esclarecimentos,agradecimento
Obrigada ;) Enviarei!,agradecimento
Obrigada pelo retorno,agradecimento
Bem e vc Ana!! Muito obrigada,agradecimento
Muito obrigada pelo retorno!,agradecimento
Bia! Esse seu Curadobia está um arraso! Muito tentador. Parabéns pelo projeto. Uma dúvida: qual a sua altura? Estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 Obrigada,agradecimento
Obrigada!,agradecimento
Perfeito,agradecimento
Perfeito! Fico no aguardo! Abraço,agradecimento
Obrigada,agradecimento
Obrigada!,agradecimento
"Ok, muito obrigada 😊",agradecimento
"Deu certo, sim. Obrigada",agradecimento
"Perfeito, Ana. Obrigada pelo retorno. 😊",agradecimento
"Muito obrigada, elas entraram em contato comigo. Realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento
Obrigada!,agradecimento
Legal mto obrigada 💚,agradecimento
Lindo o evento! Amei,agradecimento
"Sim, obrigada",agradecimento
Experimentei essa jaqueta. Maravilhosa,agradecimento
"Precisei sair correndo por um problema com minha filha, que ja esta bem! Mas nem consegui me despedir! Obrigada queridas pelo convite!!!",agradecimento
"Ok, obrigada.",agradecimento
Ok!! Entendi. Obrigada pelo retorno. Um abraço,agradecimento
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento
Obrigada,agradecimento
Ok obrigada,agradecimento
Muito obrigada pela atenção!,agradecimento
Obrigada,agradecimento
"Tranquilo, obrigada!",agradecimento
Obrigada pelo retorno!,agradecimento
"Ótimo, me avise por favor. Um abraço e obrigada",agradecimento
Obrigada ! Até lá,agradecimento
Ok. Obrigada 😊,agradecimento
Nossa . Perfeito,agradecimento
Obrigada,agradecimento
Obrigada Ana!!,agradecimento
Obrigada pelo retorno,agradecimento
Que legal! Vai ajudar muito!,agradecimento
Obrigada,agradecimento
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira
Olá! Tudo bem? Tem cupom para 1a compra?,cupom_primeira
beijos,despedida
até agora nada!,despedida
Até agora nada!,despedida
Beijos,despedida
não tem um link de comunicação no whatsapp,disponibilidade
no e-mail da nota fiscal não tem nada,disponibilidade
