texto,intent
"olá, boa tarde",saudacao
isso é curadobia hein!,outros
👏,outros
olá. tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros
Eu não recebi a confirmação dessa compra,outros
👏,outros
"Oi, quanto custa a blusa modernosa? Tem GG ?",preco_pagamento
é acolchoada ?,outros
obrigada,agradecimento
"olá, tudo bem?! meu nome é leonardo, trabalho na importadora @lulitex_textil @lulitexfashion vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto. trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. poderia me passar o contato do estilo ou compras? desde já agradeço a atenção. att, leonardo josé e-mail: leonardo@lulitex.com.br pabx: +55 11 2105 1541 whatsapp: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega
"Oi Bia, tudo bem? Me chamo Alice, sou sócia da Monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. Estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! O que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? Fico no aguardo!",pedido_sugestao
Acha melhor pegar maior?,outros
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho
estou vendo pelo celular sim.,outros
no e-mail da nota fiscal não tem nada,disponibilidade
Bom dia,saudacao
"tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros
😍,outros
Bom dia. Comprei esta blusa mas a parte que passa encima do ombro está solta. É assim mesmo? Podemos falar para eu entender melhor? Obrigada. Meu cel 983389576,saudacao
É o pedido 502!,outros
"Não vou trocar , vou tentar reduzir o gancho",troca_devolucao
😍,outros
Compra realizada,outros
😍,outros
"oi, pessoal, tudo bem? mariele da icon aqui. adoraria apresentar a agência e os talentos que representamos para vocês. acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! qual o melhor contato para falarmos disso, por favor? muito obrigada!",saudacao
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade
Gostaria a camisa branca tamanho M. É possível?,duvida_tamanho
😁😁,outros
bom dia … obrigada 🙏🏻,saudacao
👏,outros
Olá. Tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros
Chama no mkt@gammba.com,outros
Eu costumo usar P ou PP se a confecção é grande,duvida_tamanho
eu não recebi a confirmação dessa compra,outros
🥰,outros
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento
😍,outros
obaaaa,outros
que legal! vai ajudar muito!,agradecimento
pode,outros
stellathomazbastos@gmail.com,outros
"aaaah, perdi! quando vai ter offline de novo?",outros
Vocês irao vender Oysho????,outros
Mto obrigada pelo retorno,agradecimento
"Os brincos argola frontal, não sei o nome da peça kkk",outros
Boa tarde! Tudo ótimo! Segunda à tarde em qualquer horário.,saudacao
Reagiu com 😢 à sua mensagem,outros
"Oie!!! São lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao
tenho interesse nessa jaqueta,outros
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",disponibilidade
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao
"tranquilo, obrigada!",agradecimento
😮,outros
https://www.instagram.com/_nata.oficial?igsh=N204dXp5bzN6azBz,onde_comprar
obrigada pelo retorno,agradecimento
Obrigada!,agradecimento
"Como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. Compro bastante on-line e sempre vem o e-mail do status do pedido!! O cliente fica mais seguro da compra.",duvida_tamanho
Tô chegando!,outros
"Aaaah, perdi! Quando vai ter offline de novo?",outros
Oi!,saudacao
gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao
"Boa tarde, me interessei pelos macacões, com zíper mostrados pela Bia.",saudacao
"Eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros
"Oii, tudo bem??",saudacao
"bia, tudo bem? tenho uma festa bem legal e o traje é black and white. pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. beijos julie",duvida_tamanho
Tutu. Meu filho é Tutu. Arthur kkkk,outros
estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. como devo proceder? cristina hees 11 970499507,troca_devolucao
11 99635.2663,outros
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",onde_comprar
e esses sapatos incríveis? teremos a chance de tê-los? rs,outros
"ainda não , super correria",outros
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",disponibilidade
E a blusa?,outros
vamos pensar no q podemos fazer juntas🌺🌺,outros
Reagiu com 👍🏿 à sua mensagem,outros
"oi bia, tudo bem? me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? fico no aguardo!",pedido_sugestao
ainda hj vou efetuar a compra da calça,outros
maravilha!,outros
"Olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m Poderiam me ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho
Ambos :),outros
Fiz uma compra de um casaco com vcs e não vestiu bem. Gostaria de trocar por uma calça fresquinha tamanho M.,troca_devolucao
obrigada,agradecimento
Td bem?,outros
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",saudacao
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_tamanho
😍,outros
acha melhor pegar maior?,outros
"Ola pessoal ! Tudo bem?! Sou a Lalá Cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio Estamos em SP e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. Fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo SHOOTING COLLAB, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. O proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. Abaixo mando mais infos. Vamos conversar sobre essas possibilidades? Fico aqui a disposição Abraços, Lalá 11 972686892",preco_pagamento
experimentei essa jaqueta. maravilhosa,agradecimento
Porém na dúvida do melhor tamanho,duvida_tamanho
Eu adorei !! Ja usei minha saia hj,outros
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_tamanho
oi!,saudacao
"Enfim , por muito pouco não me atende",outros
perfeito! fico no aguardo! abraço,agradecimento
Comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega
Olá! Por favor vcs tem desconto para a primeira compra? Obrigada!,preco_pagamento
👏,outros
36 ou 38,duvida_tamanho
oii o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... bjs,saudacao
"vc poderia checar se houve algum problema com os correios de são paulo, pois nem chegou no correio de curitiba",outros
???,outros
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",outros
"caso não fique com, como funciona a troca?",troca_devolucao
olá bia tudo bem?,saudacao
Lindaaaa,outros
oi,saudacao
e a blusa?,outros
"gostei do conjunto, mas não vi no site",outros
comprei a jaqueta 😻,outros
estou de olho nessa peça aqui 👇🏻,outros
Ok,outros
"Posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao
Preciso de uma ajudinha com o meu pedido,outros
Tô de olho faz tempooo,outros
olá,saudacao
como comprar ?,onde_comprar
email: adrianaleitecarvalho@gmail.com,outros
paguei sedex porque estou indo hoje pra londres e queria levar o body,outros
oiee! bom dia,saudacao
😍,outros
boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,saudacao
Onde e a loja?,onde_comprar
muito obrigada pelos esclarecimentos,agradecimento
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_tamanho
"Gostei do conjunto, mas não vi no site",outros
bia! será que a tshirt angela motta branca com uma manga bafônica vai ter amanhã? preciso dela,disponibilidade
reagiu com 💜 à sua mensagem,outros
Obrigada!,agradecimento
Vou seguir.,outros
"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",outros
"Oi pessoal! Tudo bem? Acredito que essa calça tenha esgotado, certo? Vai ter reposição dela? Aguardo retorno! Obrigada, Milene",disponibilidade
Legal mto obrigada 💚,agradecimento
Já respondi! Sim no wzap,outros
oii,saudacao
ai..me ajuda com o vídeo …. ainda não usei a blusa!!,outros
oiee,saudacao
"Oi Bia, tudo bem? Adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! Não localizei tabela de medidas! Porem, pelo tamanho das peças que vc veste o G provavelmente não vai caber em mim! Uso 46/48, a depender da confecção! Pense com carinho em fazer uma curadoria para tamanhos normais! Desejo muito sucesso nessa nova empreitada! Que Deus te abençoe! Bjos!",duvida_tamanho
"ok, muito obrigada 😊",agradecimento
"oii, tudo bem??",saudacao
"Oi Ana boa tarde! Obrigada pelo contato. Sim, estou interessada. Tentei comprar após a mensagem da Bia mas ainda estava indisponível",saudacao
👏,outros
Oie,saudacao
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho
Então era pra ter pago menos a meu ver,outros
Ok!! Entendi. Obrigada pelo retorno. Um abraço,agradecimento
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento
a calça ficou sobrando muito atrás.,duvida_tamanho
mas paguei por uma coisa que não recebi,outros
Tudo bem?,outros
👏,outros
👏,outros
Aí entro em contato vocês,outros
"deu certo, sim. obrigada",agradecimento
"Muito obrigada, elas entraram em contato comigo. Realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento
mas a peça ainda não chegou,outros
"Olá Curadobia, tudo bem? Agradecemos o interesse pela marca. Para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. Nossa equipe de marketing é especializada nesse assunto. Dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. Fique à vontade para entrar em contato caso tenha alguma dúvida. Estamos aqui para ajudar.",saudacao
"visto g, qual tamanho seria? quais cores tem? tem a calça tb?",duvida_tamanho
Obrigada pelo convite! Adorei a minha sandalia nova! ♥️,agradecimento
😍,outros
É acolchoada ?,outros
"Visto G, qual tamanho seria? Quais cores tem? Tem a calça tb?",duvida_tamanho
No e-mail da nota fiscal não tem nada,disponibilidade
vou amanhã. obrigada,agradecimento
De onde é a sandália linda?,outros
"Boa tarde. Estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao
"Boa tarde, pessoal! Tudo bem? Estava namorando um macacão verde no site da marca D-aura, porém não localizei mais 😕. Saiu de coleção? Não terá reposição? Aguardo. Obrigada Milene",disponibilidade
"Muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho
Tudo bem e vocês?,outros
"Ainda não , super correria",outros
reagiu com 👍🏿 à sua mensagem,outros
que honra 😍😍😍,outros
"Na verdade foi o porteiro, rs!",outros
"Somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",outros
bom dia,saudacao
Fiz o processo 2x Será q cobrou 2x?,outros
quanto tá essa blusa?,outros
"Estou com duvidas sobre o tamanho da saia Unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho
Obrigada pelo retorno!,agradecimento
aí entro em contato vocês,outros
"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",duvida_tamanho
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_tamanho
Como comprar ?,onde_comprar
ambos :),outros
"As duas camisas, o body, a calça e o colar. Eu visto P.",duvida_tamanho
olá! bom dia,saudacao
já tentei três vezes. será que pode ser o tamanho?,duvida_tamanho
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento
"Oiee tudo bem? Amei a bota, tem curadoria dela? Bjos",disponibilidade
"Olá, td bem? Fiz uma compra com vc e recebi apenas o tricot. Vc pode me ajudar ? Muito obrigada desde já !",saudacao
Funciona,outros
obrigada!,agradecimento
eh isso mesmo?,outros
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento
"Oi Ana a Marcia Fonseca esta em contato com vc, ne? Vamos conversar sim, a Fernanda tem mto interesse",disponibilidade
Essa gladiadora!! Qual o número? Tem 37??,disponibilidade
Adorei!!!! 😘😘🌷,outros
olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? obrigada carol 🤍,saudacao
"ótimo, me avise por favor. um abraço e obrigada",agradecimento
Macacão precisa ser mais soltinho,outros
Isso é Curadobia hein!,outros
Reagiu com 👍 à sua mensagem,outros
"oi, quanto custa a blusa modernosa? tem gg ?",preco_pagamento
"oiii boa tarde , me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade
macacões com mangas,outros
vc consegue rastrear o meu pedido?,prazo_entrega
😍,outros
como proceder p troca?,troca_devolucao
como eu poderia rastrear minha compra?,prazo_entrega
oie,saudacao
🔥,outros
adoro…!,outros
Tudo bem também. Que pena 😕 Eu queria exatamente o verde! 😩,outros
tudo bem?,outros
👏,outros
você é linda e de uma delicadeza admirável,outros
😍,outros
👏,outros
Já comprei 3 peças da curadobia,outros
"Ahh pena! Mas na hora certa, vai dar!",outros
sim,outros
não consigo deixá-la deste jeito,outros
uauuu ameiii! linda saia!,outros
adorei! como funciona ?🤩,outros
já tô seguindo 👊🏻,outros
ficou enorme,duvida_tamanho
🥰,outros
obrigada,agradecimento
"sim, obrigada",agradecimento
Oi BIA. Sou Erika dos @brincosdiferentes. Gostaria de saber como você trabalha em relação a promoção de produtos. Meus brincos são autorais e os fabrico a 39 anos. A produção é 100% nacional. Fabricamos desde a liga do metal até o banho de ouro 18k. Nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. Espero seu contato. Obrigada.,saudacao
vamos marcar ☺️,outros
Essa sandália calça certo ?Calço 36 .Será que preciso comprar 37 ?,duvida_tamanho
🖤🖤🖤,outros
chama no mkt@gammba.com,outros
https://www.instagram.com/voceamara/profilecard/,onde_comprar
chegou,outros
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento
Obrigada,agradecimento
Ibaaaa,outros
Ola! Muitíssimo obrigada 💋,saudacao
😍,outros
Obrigada pelo retorno,agradecimento
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",preco_pagamento
ola!,saudacao
já respondi! sim no wzap,outros
Olá,saudacao
Mas gostaria de experimentar antes de comprar. É possível? Meu cel (11) 99904-7575,outros
Maravilha!,outros
E quadril ?,duvida_tamanho
🥰,outros
agora estou organizando as coisas,outros
"Linda calça, qual é a marca?",outros
Vai ter reposição dessa calça?,disponibilidade
M,duvida_tamanho
"não vou trocar , vou tentar reduzir o gancho",troca_devolucao
Não tenho nada da Paula Ferber. A numeração é normal a forma?,duvida_tamanho
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega
❤️❤️,outros
Como falo com alguém daí,outros
consegue me informar de onde é essa sandália?,outros
onde e a loja?,onde_comprar
❤️❤️❤️❤️❤️,outros
gostaria a camisa branca tamanho m. é possível?,duvida_tamanho
😍,outros
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade
Sim!,outros
"Claro, mando tudo la",outros
pode me chamar novamente por favor?,outros
"Olá, tudo bem?! Meu nome é Leonardo, trabalho na importadora @Lulitex_textil @lulitexfashion Vi o instagram da marca e vocês tem o perfil Lulitex, muito sofisticação e bom gosto. Trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. Nosso showroom tem um acervo enorme. Será um prazer recebe-los em uma visita. Poderia me passar o contato do estilo ou compras? Desde já agradeço a atenção. Att, Leonardo José E-mail: leonardo@lulitex.com.br PABX: +55 11 2105 1541 WHATSAPP: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega
Volta pro estoque?,disponibilidade
tenho interesse nessa jaqueta,outros
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento
"Ok, muito obrigada 😊",agradecimento
Mas a experiência de compra não foi legal,outros
"Na verdade eu já assisti ao vídeo do casaco no site Curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros
ebaaaaa,outros
Obrigada ! Até lá,agradecimento
obrigada pelo retorno!,agradecimento
meu tel 21 99245-3454,outros
😍,outros
"Caso não fique com, como funciona a troca?",troca_devolucao
"Queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros
olá algum cupom de desconto na primeira compra?,preco_pagamento
Bom dia! Ontem tive o prazer de conhecer vc ao vivo! Eu estava no Mil Plantas! Vc e lindíssima! ❤️,saudacao
qual o endereço???,outros
Qual tamanho?,duvida_tamanho
obrigada,agradecimento
Email: adrianaleitecarvalho@gmail.com,outros
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento
Oi! Tudo certinho por aí? 💚 Somos a ĒCRU e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! Nossos principais produtos são: 💚 Necessaire 💚 Saquinhos 💚 Ecobags Nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! Posso te enviar mais informações pelo e-mail ou Whatsapp? Ah! Também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar
Vou olhar aqui meu anti virus.. Pq ele bloqueia o curadobia... Veja:,outros
👏,outros
Vou checar as minhas medidas e volto com Vcs,duvida_tamanho
"Bom dia! Gostaria de adquirir essa calça, mas não está mais disponível. Podem me ajudar? Obrigada",disponibilidade
obaaa!❤️❤️❤️,outros
Conseguem me ajudar por aqui?,agradecimento
"Vc poderia checar se houve algum problema com os correios de São Paulo, pois nem chegou no correio de Curitiba",outros
uma coisa de lindo!,outros
Ameiiiiiiii,outros
