cluster,qtd,top_intents,top_terms
12,123,"{'outros': 48, 'preco_pagamento': 19, 'saudacao': 17}","[('compra', np.float64(0.0429)), ('de', np.float64(0.0354)), ('o', np.float64(0.0352)), ('e', np.float64(0.0325)), ('não', np.float64(0.0323)), ('a', np.float64(0.0297)), ('no', np.float64(0.0237)), ('tem', np.float64(0.0232))]"
2,107,"{'outros': 77, 'saudacao': 18, 'duvida_tamanho': 8}","[('oi', np.float64(0.0561)), ('maravilha', np.float64(0.0558)), ('oie', np.float64(0.0374)), ('m', np.float64(0.0259)), ('joia', np.float64(0.0236)), ('a', np.float64(0.0215)), ('é', np.float64(0.02)), ('muito', np.float64(0.0199))]"
0,103,"{'saudacao': 33, 'outros': 33, 'onde_comprar': 12}","[('olá', np.float64(0.0955)), ('e', np.float64(0.0486)), ('de', np.float64(0.0425)), ('com', np.float64(0.04)), ('o', np.float64(0.0309)), ('a', np.float64(0.0304)), ('ola', np.float64(0.0281)), ('obrigada', np.float64(0.0249))]"
9,94,"{'outros': 74, 'agradecimento': 8, 'disponibilidade': 5}","[('vou', np.float64(0.0431)), ('não', np.float64(0.0349)), ('chegou', np.float64(0.0257)), ('o', np.float64(0.025)), ('tô', np.float64(0.0248)), ('por', np.float64(0.0248)), ('ainda', np.float64(0.0246)), ('e', np.float64(0.0231))]"
6,86,"{'outros': 40, 'disponibilidade': 16, 'saudacao': 12}","[('a', np.float64(0.06)), ('calça', np.float64(0.0487)), ('é', np.float64(0.0405)), ('de', np.float64(0.0365)), ('onde', np.float64(0.0312)), ('jaqueta', np.float64(0.031)), ('da', np.float64(0.0295)), ('que', np.float64(0.0293))]"
5,85,"{'agradecimento': 68, 'saudacao': 9, 'outros': 4}","[('obrigada', np.float64(0.2204)), ('muito', np.float64(0.0787)), ('muito obrigada', np.float64(0.0781)), ('retorno', np.float64(0.0678)), ('obrigada pelo', np.float64(0.0655)), ('pelo', np.float64(0.0655)), ('pelo retorno', np.float64(0.0655)), ('ok', np.float64(0.0622))]"
3,83,"{'duvida_tamanho': 48, 'outros': 19, 'saudacao': 4}","[('tamanho', np.float64(0.0469)), ('de', np.float64(0.0432)), ('a', np.float64(0.0415)), ('o', np.float64(0.0406)), ('blusa', np.float64(0.0361)), ('e', np.float64(0.0348)), ('que', np.float64(0.0304)), ('mas', np.float64(0.0289))]"
11,75,"{'outros': 47, 'disponibilidade': 8, 'agradecimento': 6}","[('que', np.float64(0.045)), ('adorei', np.float64(0.0432)), ('adoro', np.float64(0.0374)), ('linda', np.float64(0.0374)), ('lindíssima', np.float64(0.0343)), ('muito', np.float64(0.0329)), ('lindas', np.float64(0.0309)), ('lindo', np.float64(0.0289))]"
1,53,{'outros': 53},"[('obaaa', np.float64(0.0377)), ('vamos marcar', np.float64(0.0218)), ('vamos', np.float64(0.0218)), ('mybasic', np.float64(0.0218)), ('marcar', np.float64(0.0218)), ('body', np.float64(0.0218)), ('body mybasic', np.float64(0.0218)), ('oba', np.float64(0.0189))]"
4,47,"{'outros': 43, 'agradecimento': 4}","[('ok', np.float64(0.0851)), ('perfeito', np.float64(0.0647)), ('tudo', np.float64(0.0507)), ('bem', np.float64(0.0507)), ('tudo bem', np.float64(0.0507)), ('também', np.float64(0.0291)), ('bem também', np.float64(0.0291)), ('nossa perfeito', np.float64(0.0257))]"
10,45,"{'outros': 30, 'saudacao': 8, 'troca_devolucao': 6}","[('sim', np.float64(0.1441)), ('bem', np.float64(0.1013)), ('tudo bem', np.float64(0.0904)), ('tudo', np.float64(0.0904)), ('funciona', np.float64(0.0713)), ('como', np.float64(0.0472)), ('ambos', np.float64(0.0444)), ('yes', np.float64(0.0444))]"
13,44,"{'agradecimento': 22, 'duvida_tamanho': 14, 'outros': 4}","[('obrigada', np.float64(0.4333)), ('37', np.float64(0.0401)), ('não', np.float64(0.0373)), ('é', np.float64(0.03)), ('42', np.float64(0.0286)), ('em', np.float64(0.0273)), ('o', np.float64(0.027)), ('a', np.float64(0.0262))]"
7,30,{'onde_comprar': 30},"[('profilecard', np.float64(0.1404)), ('www', np.float64(0.1363)), ('www instagram', np.float64(0.1363)), ('instagram com', np.float64(0.1363)), ('https', np.float64(0.1363)), ('https www', np.float64(0.1363)), ('instagram', np.float64(0.1363)), ('com', np.float64(0.1363))]"
14,30,{'saudacao': 30},"[('bom', np.float64(0.2627)), ('bom dia', np.float64(0.2627)), ('dia', np.float64(0.2627)), ('olá', np.float64(0.1507)), ('olá bom', np.float64(0.1239)), ('boa', np.float64(0.1109)), ('tarde', np.float64(0.081)), ('boa noite', np.float64(0.0752))]"
8,20,{'outros': 20},"[('à sua', np.float64(0.2189)), ('à', np.float64(0.2189)), ('reagiu com', np.float64(0.2189)), ('reagiu', np.float64(0.2189)), ('sua mensagem', np.float64(0.2189)), ('sua', np.float64(0.2189)), ('com', np.float64(0.2189)), ('com à', np.float64(0.2189))]"
