texto,intent,cluster
😍,outros,1
😍 body mybasic,outros,1
"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",duvida_tamanho,3
https://www.instagram.com/_nata.oficial?igsh=n204dxp5bzn6azbz,onde_comprar,7
obrigada! beijinhos,agradecimento,13
olá,saudacao,0
como falo com alguém daí,outros,9
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega,12
mas a peça ainda não chegou,outros,9
era pra ter chegado ontem,outros,9
com quem falo b,outros,9
???,outros,10
"oii, tudo bem??",saudacao,10
chegou,outros,9
mas paguei por uma coisa que não recebi,outros,12
então era pra ter pago menos a meu ver,outros,12
e achei muito difícil o contato com vcs,outros,12
não tem um link de comunicação no whatsapp,disponibilidade,0
no e-mail da nota fiscal não tem nada,disponibilidade,12
precisei escrever em uma postagem,outros,8
"enfim , por muito pouco não me atende",outros,9
paguei sedex porque estou indo hoje pra londres e queria levar o body,outros,12
e o body me chega hoje,outros,9
muito tenso,outros,2
por muito pouco a minha frustração seria ainda maior,outros,9
"o produto é lindo , apesar de ter ficando um pouco grande",outros,3
mas a experiência de compra não foi legal,outros,12
tudo bem também!!,outros,4
"somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",outros,0
você poderia me passar o contato dos responsáveis?!,outros,0
"de todo modo , agradeço por perguntar",outros,5
tudo bem,outros,4
"não vou trocar , vou tentar reduzir o gancho",troca_devolucao,9
muito obrigada!! tenham um bom fim de semana!,agradecimento,5
ebaaaaa,outros,2
"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 obrigada ! +1(917)868-9790",disponibilidade,0
feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros,8
"olá, gente! bom dia! acabei de ver o post da bia sobre camisas. somos uma pequena alfaiataria e camisaria é o core da nossa criação. gostaria muito de apresentar nosso produto pra vocês. se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. abraço, stella",saudacao,3
https://www.instagram.com/queensgatestore?igsh=mjc0c2g5chnmn25k&utm_source=qr,onde_comprar,7
"acho ótimo. pode ser segunda 29 na parte da tarde. estamos com 4horas de fuso, qual horário seria bom pra vc?",outros,9
