origem,intencao,guarda,acao,proximo_estado
START,any,,,CAPTURA_INTENCAO
CAPTURA_INTENCAO,pedir_sugestao_produto,,gerar_sugestoes,RECOMENDAR
CAPTURA_INTENCAO,buscar_produto_por_nome,has(produto.nome),buscar_produto_por_nome,BUSCA_PRODUTO
CAPTURA_INTENCAO,buscar_produto_por_categoria,has(categoria),buscar_produto_por_categoria,BUSCA_PRODUTO
CAPTURA_INTENCAO,disponibilidade_estoque,,consultar_estoque,INFO_ESTOQUE
CAPTURA_INTENCAO,frete_prazo,has(geo.cep),cotar_frete,INFO_FRETE
CAPTURA_INTENCAO,frete_prazo,!has(geo.cep),,FALLBACK_PEDIR_CEP
CAPTURA_INTENCAO,formas_pagamento,,,INFO_PAGAMENTO
CAPTURA_INTENCAO,status_pedido,has(pedido.id),consultar_status_pedido,STATUS_PEDIDO
CAPTURA_INTENCAO,status_pedido,!has(pedido.id),,FALLBACK_PEDIR_PEDIDO
CAPTURA_INTENCAO,troca_devolucao_politica,,consultar_politica_troca,POLITICA_TROCA
CAPTURA_INTENCAO,tamanho_modelagem,,,TAMANHO_MODELAGEM
CAPTURA_INTENCAO,styling_sugestao_look,,,STYLING
CAPTURA_INTENCAO,materiais_cuidados,,responder_kb_materiais,MATERIAIS
CAPTURA_INTENCAO,como_comprar,,,COMO_COMPRAR
CAPTURA_INTENCAO,erros_plataforma,,,SUPORTE_LOGIN
CAPTURA_INTENCAO,cliente_loja_b2b,,,CLIENTE_B2B
CAPTURA_INTENCAO,pos_venda,,,POS_VENDA
CAPTURA_INTENCAO,falar_com_humano,,,FALAR_HUMANO
CAPTURA_INTENCAO,despedida,,,ENCERRAMENTO
CAPTURA_INTENCAO,agradecimento,,,ENCERRAMENTO
CAPTURA_INTENCAO,nao_entendi,,,FALLBACK_PEDIR_REFORMULACAO
CAPTURA_INTENCAO,any,,,FALLBACK_PEDIR_REFORMULACAO
RECOMENDAR,any,,,ENCERRAMENTO
BUSCA_PRODUTO,any,,,INFO_ESTOQUE
INFO_ESTOQUE,any,,,ENCERRAMENTO
INFO_FRETE,any,,,ENCERRAMENTO
INFO_PAGAMENTO,any,,,ENCERRAMENTO
STATUS_PEDIDO,any,,,ENCERRAMENTO
POLITICA_TROCA,any,,,ENCERRAMENTO
TAMANHO_MODELAGEM,any,has(tamanho_ref) or has(medidas.busto),estimar_tamanho,TAMANHO_MODELAGEM_RESULT
TAMANHO_MODELAGEM,any,,,TAMANHO_MODELAGEM
TAMANHO_MODELAGEM_RESULT,any,,,ENCERRAMENTO
STYLING,any,has(categoria) or has(ocasiao),sugerir_looks,STYLING_RESULT
STYLING,any,,,STYLING
STYLING_RESULT,any,,,ENCERRAMENTO
MATERIAIS,any,,,ENCERRAMENTO
COMO_COMPRAR,any,,,ENCERRAMENTO
SUPORTE_LOGIN,falar_com_humano,,,FALAR_HUMANO
SUPORTE_LOGIN,any,,,ENCERRAMENTO
CLIENTE_B2B,any,,abrir_chamado,ENCERRAMENTO
POS_VENDA,any,has(pedido.id),consultar_status_pedido,ENCERRAMENTO
POS_VENDA,any,,,FALLBACK_PEDIR_PEDIDO
FALLBACK_PEDIR_CEP,any,has(geo.cep),cotar_frete,INFO_FRETE
FALLBACK_PEDIR_CEP,any,,,FALLBACK_PEDIR_CEP
FALLBACK_PEDIR_PEDIDO,any,has(pedido.id),consultar_status_pedido,STATUS_PEDIDO
FALLBACK_PEDIR_PEDIDO,any,,,FALLBACK_PEDIR_PEDIDO
FALLBACK_PEDIR_REFORMULACAO,any,,,CAPTURA_INTENCAO
FALAR_HUMANO,any,,,ENCERRAMENTO
