text,label
conseguem me ajudar por aqui,nao_entendi
quanto ta essa blusa,nao_entendi
pergunta a camisa viajante ta em promocao resposta preco estoque e pagamento,formas_pagamento
deu certo mas a pea a que eu queria acaboua,nao_entendi
sem conteudo detectavel,nao_entendi
os,nao_entendi
ola sua curadoria projeto editorial e grafico sao incriveis parabens mas sua plataforma de e commerce nao funciona bem estou desde ontem tentando fazer compras mas paginas nao carregam carrinhos esvaziam muito dificil,saudacao
roupa,nao_entendi
oii,nao_entendi
acabei de comprar um conjunto se na o servir posso trocar pelo seu cep deve ser perto da minha casa o meu <num> <num>,como_comprar
oii bia tudo bem por favor de onde e essa calca yes i am procurei aqui no feed e nao encontrei obrigada,agradecimento
sheila segue resposta das meninas da olive you marca do macacao <num> cm circunferencia total mas explique a ela por favor que esta peca tem uma modelagem ampla ao corpo ok entao acredito que se encaixa no que conversamos mesmo o que voce acha qualquer coisa seguimos a disposicao,tamanho_modelagem
sem conteudo detectavel,nao_entendi
pergunta com que sapato usar a bolsa anda sozinha resposta combinacoes e ocasioes,nao_entendi
pergunta com que sapato usar a regata pregas jersey resposta combinacoes e ocasioes,nao_entendi
mais,nao_entendi
faz,nao_entendi
vou amanha obrigada,agradecimento
oi tatiana tudo bem infelizmente na o temos o cupom,saudacao
link compartilhado,como_comprar
de,nao_entendi
que,nao_entendi
bia sent an attachment,nao_entendi
oi karen que bom receber tua mensagem aqui a c a ana faa o parte do time curadobia realmente na <num> s ainda na o trabalhamos com frete internacional d mas na o deixe de pedir para algua c m te levar nossas pea as quando for te visitar va rias clientes internacionais nossas fazem issod,saudacao
curtiu uma mensagem,nao_entendi
posso trocar caso eu experimente e prefira uma maior,nao_entendi
obrigada aoi,agradecimento
curtiu uma mensagem,nao_entendi
you sent an attachment,nao_entendi
qualquer daovida por favor nos avise d,nao_entendi
qualquer,nao_entendi
basica,nao_entendi
pergunta se eu sou baixa a calca saruel silvia fica muito comprida resposta tamanho e medidas,tamanho_modelagem
peco desculpa pela demora em lhe retornar,nao_entendi
os brincos argola frontal nao sei o nome da peca kkk,nao_entendi
ola carol td bem e vc pode nos enviar para contato curadobia <user> com,saudacao
sem conteudo detectavel,nao_entendi
passando,nao_entendi
podia,nao_entendi
sem conteudo detectavel,nao_entendi
camisa,nao_entendi
o,nao_entendi
ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br insta <user> oficial o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a aim super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces,saudacao
aquele,nao_entendi
<num>,nao_entendi
vc poderia checar se houve algum problema com os correios de sao paulo pois nem chegou no correio de curitiba,nao_entendi
<url>,nao_entendi
colar,nao_entendi
muito,nao_entendi
contexto,nao_entendi
essa tshirt vai estar no evento namoro tanto ela,nao_entendi
logo mais te passo novas informaa aues,nao_entendi
oi karen que bom receber tua mensagem aqui e a ana faco parte do time curadobia realmente nos ainda nao trabalhamos com frete internacional mas nao deixe de pedir para alguem te levar nossas pecas quando for te visitar varias clientes internacionais nossas fazem isso,saudacao
invernal,nao_entendi
eu nao recebi a confirmacao dessa compra,nao_entendi
seu ddd qual seria,nao_entendi
no,nao_entendi
obrigada pela presenca,agradecimento
pergunta a camisa de responsa e oversized ou normal resposta tamanho e medidas,tamanho_modelagem
contextualizar,nao_entendi
pergunta tenho <num> cm de busto qual regata pregas jersey comprar resposta tamanho e medidas,tamanho_modelagem
da,nao_entendi
oi bia tudo bem me chamo alice sou sa <num> cia da monti uma marca de moda que preza por estilo atemporal e pea as de qualidade estamos buscando consultoras de imagem parceiras para recomendar nossas pea as aos seus clientes e pensei que poderaamos criar algo bem legal juntas o que acha de agendarmos um papo para te contar mais sobre a nossa hista <num> ria e a ideia de parceria fico no aguardo,saudacao
consegue,nao_entendi
oi,saudacao
bia sent an attachment,nao_entendi
brenda sent an attachment,nao_entendi
bia sent an attachment,nao_entendi
oi boa tarde ana aqui voce conseguiu dar uma olhada na calca qualquer coisa sigo aqui para o que voce precisar viu edited,saudacao
stella sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
bia sent an attachment,nao_entendi
oi ineia tudo bem segue o valor do casaco que voce se interessou,saudacao
ola heloisa bom dia tudo bem que bom que voce gostou das pecas da bia vou te mandar os links das pecas que voce informou para que possa visualizar com mais calma e clareza todas as pecas qualquer outra duvida ou questao estamos a disposicao equipe curadobia,saudacao
ah que otimo monica deve ter ficado incravel com toda a sua bossa,nao_entendi
amanda nosso pessoal ta c cnico pediu se possavel se cadastrar atrava c s desse link,como_comprar
curtiu uma mensagem,nao_entendi
ola van td bem farei um video para vc,saudacao
mas acho que esta aprocessandoa para subir tudo,nao_entendi
sem conteudo detectavel,nao_entendi
alem,nao_entendi
link compartilhado,como_comprar
presencial,nao_entendi
joyce sent an attachment,nao_entendi
e fato perguntei pois esta a procurando uma peca e nao encontrava,nao_entendi
ola fiz uma compra com vocaas tudo certo,saudacao
da,nao_entendi
tech,nao_entendi
sem conteudo detectavel,nao_entendi
facilitadora,nao_entendi
de,nao_entendi
bia sent an attachment,nao_entendi
sem conteudo detectavel,nao_entendi
sem,nao_entendi
obrigada pelo retorno,agradecimento
link compartilhado,como_comprar
que,nao_entendi
preto,nao_entendi
o,nao_entendi
obrigada pela presena a livia,agradecimento
<url>,nao_entendi
oiii tudo bem me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho estou a procura de uma nova oportunidade no mercado de trabalho gostaria de saber se tem um espacinho no time de vocaas vou deixar o meu naomero e mail e portfa <num> lio caso queria marcar uma call para falarmos mais estou por aqui cel <num> <num> <num> e mail cspereiramkt <user> com portfa <num> lio <url> obrigada desde ja d,agradecimento
pergunta a calca cool tem frete gratis resposta frete prazos e trocas,frete_prazo
vazado,nao_entendi
link compartilhado,como_comprar
ola karyna boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar karyna qualquer duvida estamos a disposicao equipe curadobia,saudacao
ola boa tarde infelizmente na o enviamos para fora do pais mas aceitamos cartaues internacionais com entrega em todo o brasil d,saudacao
da,nao_entendi
ola pessoal como va o meu nome a c ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia a c um marketplace que nasceu com o propa <num> sito de reunir em um sa <num> lugar pea as que fazem toda a diferena a no arma rio e ao mesmo tempo sa o fa ceis de usar os chamados neutros com tcharanz acreditamos que a projeto zero um super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo vocaas,saudacao
lindaaaa,nao_entendi
pergunta a bolsa anda sozinha precisa passar resposta modelagem e tecido,tamanho_modelagem
presenca,nao_entendi
tudo,nao_entendi
ola bom dia roupas lindas aqui mas nao encontrei muitas opcoes de tamanhos maiores e isso mesmo tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporaneo mas e um tamanho g gg <num> <num> poderiam me sugerir algumas opcoes,saudacao
link compartilhado,como_comprar
bia sent an attachment,nao_entendi
busto,nao_entendi
recebo,nao_entendi
<url>,nao_entendi
curtiu uma mensagem,nao_entendi
<url>,nao_entendi
inclusive muito obrigada pela solicitaa a o pois em funa a o dela estamos criando esse maas um destaque aqui no insta trazendo e salvando vadeos mostrando essa a c mais outras pea as que podem gerar daovidas,agradecimento
ola amanda bom dia tudo bem,saudacao
voce,nao_entendi
sem conteudo detectavel,nao_entendi
da,nao_entendi
saia,nao_entendi
sem conteudo detectavel,nao_entendi
tipo,nao_entendi
arrumadinhas,nao_entendi
brenda sent an attachment,nao_entendi
