text,label
oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pea as na o localizei tabela de medidas porem pelo tamanho das pea as que vc veste o g provavelmente na o vai caber em mim uso <num> <num> a depender da confeca a o pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abena oe bjos,saudacao
sem conteudo detectavel,nao_entendi
d r,nao_entendi
boa tarde na pa gina da regata podrinha cinza eu na o consigo ver as medidas dos tamanhos acima do g que sa o justamente o que visto poderia me enviar essas medidas dos tamanhos gg e xgg por favor,saudacao
bia sent an attachment,nao_entendi
oi,saudacao
link compartilhado,como_comprar
estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sandalias da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia o link clicavel segue na proxima mensagem obrigada por nos acompanhar katia qualquer duvida estamos a disposicao equipe curadobia,agradecimento
bia sent an attachment,nao_entendi
bom dia julienne como vai conseguiu analisar a selea a o que fiz especificamente para vocaa e sua cliente,saudacao
bom dia marcia tudo bem obrigada pela sua mensagem ficamos muito felizes que gostou da nossa pantalona jeans d infelizmente ela esta esgotada no momento mas assim que tivermos a reposia a o te avisamos,saudacao
nao nao oferecemos cupom de desconto nas compras,nao_entendi
joga,nao_entendi
curtiu uma mensagem,nao_entendi
<num>,nao_entendi
obrigada pelo retorno,agradecimento
d,nao_entendi
sim obrigada,agradecimento
link compartilhado,como_comprar
tudo bem,nao_entendi
pergunta a saia acinturante e oversized ou normal resposta tamanho e medidas,tamanho_modelagem
bia sent an attachment,nao_entendi
ola anna tem sim tamanho <num>,saudacao
falando,nao_entendi
pergunta a saia tech fica justa no quadril resposta tamanho e medidas,tamanho_modelagem
pergunta aceitam pix pra trench facil resposta preco estoque e pagamento,formas_pagamento
link compartilhado,como_comprar
pergunta a camisa de responsa marca muito o corpo resposta modelagem e tecido,tamanho_modelagem
estrutura,nao_entendi
bia td bom nao estou conseguindo finalizar a compra da regata podrinha coloquei os dados do cartao e no campo cvv eu ponho os numeros mas o sistema ignora que eu coloquei tentei varias vezes acho que esta com problema,formas_pagamento
segue o link da jaqueta <url>,como_comprar
segredo,nao_entendi
ola priscila td bem e vc acabamos de fazer alguns testes e esta funcionando normalmente poderia testar novamente para ver se da certo,saudacao
a,nao_entendi
link compartilhado,como_comprar
oi anna que bom receber uma mensagem sua feliz que gostou da sandalia ela e uma das queridinhas aqui no curadobia vou te encaminhar o link dela,saudacao
ola sandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar sandra qualquer duvida estamos a disposicao equipe curadobia,saudacao
que,nao_entendi
ola,saudacao
oi tatiana tudo bem infelizmente nao temos o cupom,saudacao
amassar,nao_entendi
link compartilhado,como_comprar
vou olhar aqui meu anti virus pq ele bloqueia o curadobia veja,nao_entendi
<url>,nao_entendi
ola tudo bem entre em contato com nosso comercial <num>,saudacao
oi dany bom dia desculpa ontem nao ter te dado um retorno a marca havia informado que estaria chegando ontem mesmo,saudacao
bia sent an attachment,nao_entendi
oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho,saudacao
<url>,nao_entendi
oi talita muito bom receber sua mensagem agradecemos demais o contato e que bacana vocaas terem pensado na gente pora c m nesse momento na <num> s na o estamos trabalhando com produa a o de qualquer forma salvamos o teu contato para futuras oportunidades atenciosamente equipe curadobiad,saudacao
look,pedir_sugestao_produto
como proceder p troca,troca_devolucao_politica
sem conteudo detectavel,nao_entendi
link compartilhado,como_comprar
ola kari bom dia tudo bem,saudacao
ne,nao_entendi
pergunta a calca cool fica justa no quadril resposta tamanho e medidas,tamanho_modelagem
bom dia consegue me mandar o vadeo,saudacao
da,nao_entendi
sem problemas mari apenas encaminha pra gente um e mail solicitando que iremos dar sequaancia com a troca e mail contato curadobia <user> com,troca_devolucao_politica
vou amanha obrigada,agradecimento
pergunta a regata pregas jersey tem desconto a vista resposta preco estoque e pagamento,formas_pagamento
ficar,nao_entendi
medida,nao_entendi
link compartilhado,como_comprar
link compartilhado,como_comprar
link compartilhado,como_comprar
pergunta a blusa molona ta em promocao resposta preco estoque e pagamento,formas_pagamento
alguem poderia entrar em contato comigo por e mail ou whatsapp o site de vcs parece que esta com problemas nao funciona direito nao,erros_plataforma
meio,nao_entendi
ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a marca de voces pode se conectar com essa proposta com quem poderia conversar para falar mais sobre aguardo voces,saudacao
horrores,nao_entendi
porque,nao_entendi
ola td bem fiz uma compra com vc e recebi apenas o tricot vc pode me ajudar muito obrigada desde ja,saudacao
